master_commit,slave_commit
1567085008180453,1567085008205948
1567085008544311,1567085008569081
1567085009519342,1567085009645746
1567085010085073,1567085010143903
1567085010971852,1567085011064164
1567085011448653,1567085011507487
1567085012536448,1567085012662986
1567085012590961,1567085012669868
1567085013214898,1567085013273918
1567085013386664,1567085013412117
1567085014066456,1567085014124937
1567085014294343,1567085014319618
1567085014717837,1567085014743217
1567085015543694,1567085015637048
1567085015881081,1567085015939735
1567085016204795,1567085016264287
1567085016308456,1567085016333535
1567085016407837,1567085016432613
1567085016552745,1567085016577455
1567085016921455,1567085016946556
1567085017264056,1567085017288206
1567085017463488,1567085017490129
1567085017592978,1567085017617856
1567085018301357,1567085018359952
1567085019534715,1567085019661247
1567085020343480,1567085020436429
1567085020716126,1567085020775131
1567085020941568,1567085020966975
1567085021343494,1567085021368824
1567085022174828,1567085022267193
1567085022876449,1567085022968791
1567085022902675,1567085022975928
1567085022949587,1567085023002577
1567085023258324,1567085023283136
1567085023489222,1567085023514016
1567085024047257,1567085024105699
1567085025265213,1567085025394130
1567085026632966,1567085026760307
1567085026945880,1567085026975985
1567085027090248,1567085027115278
1567085027814985,1567085027907643
1567085028076849,1567085028101614
1567085028424952,1567085028449491
1567085028658021,1567085028682625
1567085029636564,1567085029765600
1567085029745093,1567085029772514
1567085029976277,1567085030001061
1567085030235373,1567085030260627
1567085030463045,1567085030487286
1567085030926788,1567085030951341
1567085031379906,1567085031404768
1567085031875409,1567085031933985
1567085033248335,1567085033379109
1567085033396201,1567085033420904
1567085037617780,1567085037744530
1567085038563321,1567085038689849
1567085039470332,1567085039598130
1567085040094775,1567085040188352
1567085040340557,1567085040365731
1567085040401581,1567085040426392
1567085040692163,1567085040716784
1567085042308256,1567085042434731
1567085043042787,1567085043135330
1567085043072856,1567085043171143
1567085043748625,1567085043807192
1567085044160863,1567085044220883
1567085044178185,1567085044227705
1567085045379887,1567085045506690
1567085045584848,1567085045609707
1567085047238588,1567085047365781
1567085048015579,1567085048108642
1567085048975030,1567085049101595
1567085049489648,1567085049549149
1567085049577283,1567085049602310
1567085049912485,1567085049937753
1567085050643522,1567085050736329
1567085050925380,1567085050950655
1567085051456899,1567085051516206
1567085051587016,1567085051612157
1567085052305909,1567085052399300
1567085052845678,1567085052905609
